Champion,counters champ,champ counters
nilah,"('Sivir', 47)","('Aphelios', 56)"
nilah,"('Smolder', 48)","('Draven', 56)"
nilah,"('Xayah', 50)","('Samira', 58)"
nilah,"('Zeri', 50)","(""Kai'Sa"", 58)"
nilah,"('Jinx', 51)","('Twitch', 58)"
kayle,"('Sivir', 47)","('Aphelios', 56)"
kayle,"('Smolder', 48)","('Draven', 56)"
kayle,"('Xayah', 50)","('Samira', 58)"
kayle,"('Zeri', 50)","(""Kai'Sa"", 58)"
kayle,"('Jinx', 51)","('Twitch', 58)"
urgot,"('Sivir', 47)","('Aphelios', 56)"
urgot,"('Smolder', 48)","('Draven', 56)"
urgot,"('Xayah', 50)","('Samira', 58)"
urgot,"('Zeri', 50)","(""Kai'Sa"", 58)"
urgot,"('Jinx', 51)","('Twitch', 58)"
taric,"('Sivir', 47)","('Aphelios', 56)"
taric,"('Smolder', 48)","('Draven', 56)"
taric,"('Xayah', 50)","('Samira', 58)"
taric,"('Zeri', 50)","(""Kai'Sa"", 58)"
taric,"('Jinx', 51)","('Twitch', 58)"
jinx,"('Sivir', 47)","('Aphelios', 56)"
jinx,"('Smolder', 48)","('Draven', 56)"
jinx,"('Xayah', 50)","('Samira', 58)"
jinx,"('Zeri', 50)","(""Kai'Sa"", 58)"
jinx,"('Jinx', 51)","('Twitch', 58)"
nami,"('Sivir', 47)","('Aphelios', 56)"
nami,"('Smolder', 48)","('Draven', 56)"
nami,"('Xayah', 50)","('Samira', 58)"
nami,"('Zeri', 50)","(""Kai'Sa"", 58)"
nami,"('Jinx', 51)","('Twitch', 58)"
vayne,"('Sivir', 47)","('Aphelios', 56)"
vayne,"('Smolder', 48)","('Draven', 56)"
vayne,"('Xayah', 50)","('Samira', 58)"
vayne,"('Zeri', 50)","(""Kai'Sa"", 58)"
vayne,"('Jinx', 51)","('Twitch', 58)"
nocturne,"('Sivir', 47)","('Aphelios', 56)"
nocturne,"('Smolder', 48)","('Draven', 56)"
nocturne,"('Xayah', 50)","('Samira', 58)"
nocturne,"('Zeri', 50)","(""Kai'Sa"", 58)"
nocturne,"('Jinx', 51)","('Twitch', 58)"
warwick,"('Sivir', 47)","('Aphelios', 56)"
warwick,"('Smolder', 48)","('Draven', 56)"
warwick,"('Xayah', 50)","('Samira', 58)"
warwick,"('Zeri', 50)","(""Kai'Sa"", 58)"
warwick,"('Jinx', 51)","('Twitch', 58)"
amumu,"('Sivir', 47)","('Aphelios', 56)"
amumu,"('Smolder', 48)","('Draven', 56)"
amumu,"('Xayah', 50)","('Samira', 58)"
amumu,"('Zeri', 50)","(""Kai'Sa"", 58)"
amumu,"('Jinx', 51)","('Twitch', 58)"
braum,"('Sivir', 47)","('Aphelios', 56)"
braum,"('Smolder', 48)","('Draven', 56)"
braum,"('Xayah', 50)","('Samira', 58)"
braum,"('Zeri', 50)","(""Kai'Sa"", 58)"
braum,"('Jinx', 51)","('Twitch', 58)"
malzahar,"('Sivir', 47)","('Aphelios', 56)"
malzahar,"('Smolder', 48)","('Draven', 56)"
malzahar,"('Xayah', 50)","('Samira', 58)"
malzahar,"('Zeri', 50)","(""Kai'Sa"", 58)"
malzahar,"('Jinx', 51)","('Twitch', 58)"
milio,"('Sivir', 47)","('Aphelios', 56)"
milio,"('Smolder', 48)","('Draven', 56)"
milio,"('Xayah', 50)","('Samira', 58)"
milio,"('Zeri', 50)","(""Kai'Sa"", 58)"
milio,"('Jinx', 51)","('Twitch', 58)"
yorick,"('Sivir', 47)","('Aphelios', 56)"
yorick,"('Smolder', 48)","('Draven', 56)"
yorick,"('Xayah', 50)","('Samira', 58)"
yorick,"('Zeri', 50)","(""Kai'Sa"", 58)"
yorick,"('Jinx', 51)","('Twitch', 58)"
fiddlesticks,"('Sivir', 47)","('Aphelios', 56)"
fiddlesticks,"('Smolder', 48)","('Draven', 56)"
fiddlesticks,"('Xayah', 50)","('Samira', 58)"
fiddlesticks,"('Zeri', 50)","(""Kai'Sa"", 58)"
fiddlesticks,"('Jinx', 51)","('Twitch', 58)"
janna,"('Sivir', 47)","('Aphelios', 56)"
janna,"('Smolder', 48)","('Draven', 56)"
janna,"('Xayah', 50)","('Samira', 58)"
janna,"('Zeri', 50)","(""Kai'Sa"", 58)"
janna,"('Jinx', 51)","('Twitch', 58)"
anivia,"('Sivir', 47)","('Aphelios', 56)"
anivia,"('Smolder', 48)","('Draven', 56)"
anivia,"('Xayah', 50)","('Samira', 58)"
anivia,"('Zeri', 50)","(""Kai'Sa"", 58)"
anivia,"('Jinx', 51)","('Twitch', 58)"
annie,"('Sivir', 47)","('Aphelios', 56)"
annie,"('Smolder', 48)","('Draven', 56)"
annie,"('Xayah', 50)","('Samira', 58)"
annie,"('Zeri', 50)","(""Kai'Sa"", 58)"
annie,"('Jinx', 51)","('Twitch', 58)"
cassiopeia,"('Sivir', 47)","('Aphelios', 56)"
cassiopeia,"('Smolder', 48)","('Draven', 56)"
cassiopeia,"('Xayah', 50)","('Samira', 58)"
cassiopeia,"('Zeri', 50)","(""Kai'Sa"", 58)"
cassiopeia,"('Jinx', 51)","('Twitch', 58)"
quinn,"('Sivir', 47)","('Aphelios', 56)"
quinn,"('Smolder', 48)","('Draven', 56)"
quinn,"('Xayah', 50)","('Samira', 58)"
quinn,"('Zeri', 50)","(""Kai'Sa"", 58)"
quinn,"('Jinx', 51)","('Twitch', 58)"
vex,"('Sivir', 47)","('Aphelios', 56)"
vex,"('Smolder', 48)","('Draven', 56)"
vex,"('Xayah', 50)","('Samira', 58)"
vex,"('Zeri', 50)","(""Kai'Sa"", 58)"
vex,"('Jinx', 51)","('Twitch', 58)"
kogmaw,"('Sivir', 47)","('Aphelios', 56)"
kogmaw,"('Smolder', 48)","('Draven', 56)"
kogmaw,"('Xayah', 50)","('Samira', 58)"
kogmaw,"('Zeri', 50)","(""Kai'Sa"", 58)"
kogmaw,"('Jinx', 51)","('Twitch', 58)"
singed,"('Sivir', 47)","('Aphelios', 56)"
singed,"('Smolder', 48)","('Draven', 56)"
singed,"('Xayah', 50)","('Samira', 58)"
singed,"('Zeri', 50)","(""Kai'Sa"", 58)"
singed,"('Jinx', 51)","('Twitch', 58)"
lulu,"('Sivir', 47)","('Aphelios', 56)"
lulu,"('Smolder', 48)","('Draven', 56)"
lulu,"('Xayah', 50)","('Samira', 58)"
lulu,"('Zeri', 50)","(""Kai'Sa"", 58)"
lulu,"('Jinx', 51)","('Twitch', 58)"
diana,"('Sivir', 47)","('Aphelios', 56)"
diana,"('Smolder', 48)","('Draven', 56)"
diana,"('Xayah', 50)","('Samira', 58)"
diana,"('Zeri', 50)","(""Kai'Sa"", 58)"
diana,"('Jinx', 51)","('Twitch', 58)"
garen,"('Sivir', 47)","('Aphelios', 56)"
garen,"('Smolder', 48)","('Draven', 56)"
garen,"('Xayah', 50)","('Samira', 58)"
garen,"('Zeri', 50)","(""Kai'Sa"", 58)"
garen,"('Jinx', 51)","('Twitch', 58)"
miss-fortune,"('Sivir', 47)","('Aphelios', 56)"
miss-fortune,"('Smolder', 48)","('Draven', 56)"
miss-fortune,"('Xayah', 50)","('Samira', 58)"
miss-fortune,"('Zeri', 50)","(""Kai'Sa"", 58)"
miss-fortune,"('Jinx', 51)","('Twitch', 58)"
ahri,"('Sivir', 47)","('Aphelios', 56)"
ahri,"('Smolder', 48)","('Draven', 56)"
ahri,"('Xayah', 50)","('Samira', 58)"
ahri,"('Zeri', 50)","(""Kai'Sa"", 58)"
ahri,"('Jinx', 51)","('Twitch', 58)"
darius,"('Sivir', 47)","('Aphelios', 56)"
darius,"('Smolder', 48)","('Draven', 56)"
darius,"('Xayah', 50)","('Samira', 58)"
darius,"('Zeri', 50)","(""Kai'Sa"", 58)"
darius,"('Jinx', 51)","('Twitch', 58)"
sett,"('Sivir', 47)","('Aphelios', 56)"
sett,"('Smolder', 48)","('Draven', 56)"
sett,"('Xayah', 50)","('Samira', 58)"
sett,"('Zeri', 50)","(""Kai'Sa"", 58)"
sett,"('Jinx', 51)","('Twitch', 58)"
chogath,"('Sivir', 47)","('Aphelios', 56)"
chogath,"('Smolder', 48)","('Draven', 56)"
chogath,"('Xayah', 50)","('Samira', 58)"
chogath,"('Zeri', 50)","(""Kai'Sa"", 58)"
chogath,"('Jinx', 51)","('Twitch', 58)"
elise,"('Sivir', 47)","('Aphelios', 56)"
elise,"('Smolder', 48)","('Draven', 56)"
elise,"('Xayah', 50)","('Samira', 58)"
elise,"('Zeri', 50)","(""Kai'Sa"", 58)"
elise,"('Jinx', 51)","('Twitch', 58)"
ekko,"('Sivir', 47)","('Aphelios', 56)"
ekko,"('Smolder', 48)","('Draven', 56)"
ekko,"('Xayah', 50)","('Samira', 58)"
ekko,"('Zeri', 50)","(""Kai'Sa"", 58)"
ekko,"('Jinx', 51)","('Twitch', 58)"
master-yi,"('Sivir', 47)","('Aphelios', 56)"
master-yi,"('Smolder', 48)","('Draven', 56)"
master-yi,"('Xayah', 50)","('Samira', 58)"
master-yi,"('Zeri', 50)","(""Kai'Sa"", 58)"
master-yi,"('Jinx', 51)","('Twitch', 58)"
mordekaiser,"('Sivir', 47)","('Aphelios', 56)"
mordekaiser,"('Smolder', 48)","('Draven', 56)"
mordekaiser,"('Xayah', 50)","('Samira', 58)"
mordekaiser,"('Zeri', 50)","(""Kai'Sa"", 58)"
mordekaiser,"('Jinx', 51)","('Twitch', 58)"
xerath,"('Sivir', 47)","('Aphelios', 56)"
xerath,"('Smolder', 48)","('Draven', 56)"
xerath,"('Xayah', 50)","('Samira', 58)"
xerath,"('Zeri', 50)","(""Kai'Sa"", 58)"
xerath,"('Jinx', 51)","('Twitch', 58)"
yuumi,"('Sivir', 47)","('Aphelios', 56)"
yuumi,"('Smolder', 48)","('Draven', 56)"
yuumi,"('Xayah', 50)","('Samira', 58)"
yuumi,"('Zeri', 50)","(""Kai'Sa"", 58)"
yuumi,"('Jinx', 51)","('Twitch', 58)"
jarvan-iv,"('Sivir', 47)","('Aphelios', 56)"
jarvan-iv,"('Smolder', 48)","('Draven', 56)"
jarvan-iv,"('Xayah', 50)","('Samira', 58)"
jarvan-iv,"('Zeri', 50)","(""Kai'Sa"", 58)"
jarvan-iv,"('Jinx', 51)","('Twitch', 58)"
malphite,"('Sivir', 47)","('Aphelios', 56)"
malphite,"('Smolder', 48)","('Draven', 56)"
malphite,"('Xayah', 50)","('Samira', 58)"
malphite,"('Zeri', 50)","(""Kai'Sa"", 58)"
malphite,"('Jinx', 51)","('Twitch', 58)"
syndra,"('Sivir', 47)","('Aphelios', 56)"
syndra,"('Smolder', 48)","('Draven', 56)"
syndra,"('Xayah', 50)","('Samira', 58)"
syndra,"('Zeri', 50)","(""Kai'Sa"", 58)"
syndra,"('Jinx', 51)","('Twitch', 58)"
sivir,"('Sivir', 47)","('Aphelios', 56)"
sivir,"('Smolder', 48)","('Draven', 56)"
sivir,"('Xayah', 50)","('Samira', 58)"
sivir,"('Zeri', 50)","(""Kai'Sa"", 58)"
sivir,"('Jinx', 51)","('Twitch', 58)"
soraka,"('Sivir', 47)","('Aphelios', 56)"
soraka,"('Smolder', 48)","('Draven', 56)"
soraka,"('Xayah', 50)","('Samira', 58)"
soraka,"('Zeri', 50)","(""Kai'Sa"", 58)"
soraka,"('Jinx', 51)","('Twitch', 58)"
teemo,"('Sivir', 47)","('Aphelios', 56)"
teemo,"('Smolder', 48)","('Draven', 56)"
teemo,"('Xayah', 50)","('Samira', 58)"
teemo,"('Zeri', 50)","(""Kai'Sa"", 58)"
teemo,"('Jinx', 51)","('Twitch', 58)"
veigar,"('Sivir', 47)","('Aphelios', 56)"
veigar,"('Smolder', 48)","('Draven', 56)"
veigar,"('Xayah', 50)","('Samira', 58)"
veigar,"('Zeri', 50)","(""Kai'Sa"", 58)"
veigar,"('Jinx', 51)","('Twitch', 58)"
xin-zhao,"('Sivir', 47)","('Aphelios', 56)"
xin-zhao,"('Smolder', 48)","('Draven', 56)"
xin-zhao,"('Xayah', 50)","('Samira', 58)"
xin-zhao,"('Zeri', 50)","(""Kai'Sa"", 58)"
xin-zhao,"('Jinx', 51)","('Twitch', 58)"
briar,"('Sivir', 47)","('Aphelios', 56)"
briar,"('Smolder', 48)","('Draven', 56)"
briar,"('Xayah', 50)","('Samira', 58)"
briar,"('Zeri', 50)","(""Kai'Sa"", 58)"
briar,"('Jinx', 51)","('Twitch', 58)"
nasus,"('Sivir', 47)","('Aphelios', 56)"
nasus,"('Smolder', 48)","('Draven', 56)"
nasus,"('Xayah', 50)","('Samira', 58)"
nasus,"('Zeri', 50)","(""Kai'Sa"", 58)"
nasus,"('Jinx', 51)","('Twitch', 58)"
ornn,"('Sivir', 47)","('Aphelios', 56)"
ornn,"('Smolder', 48)","('Draven', 56)"
ornn,"('Xayah', 50)","('Samira', 58)"
ornn,"('Zeri', 50)","(""Kai'Sa"", 58)"
ornn,"('Jinx', 51)","('Twitch', 58)"
riven,"('Sivir', 47)","('Aphelios', 56)"
riven,"('Smolder', 48)","('Draven', 56)"
riven,"('Xayah', 50)","('Samira', 58)"
riven,"('Zeri', 50)","(""Kai'Sa"", 58)"
riven,"('Jinx', 51)","('Twitch', 58)"
velkoz,"('Sivir', 47)","('Aphelios', 56)"
velkoz,"('Smolder', 48)","('Draven', 56)"
velkoz,"('Xayah', 50)","('Samira', 58)"
velkoz,"('Zeri', 50)","(""Kai'Sa"", 58)"
velkoz,"('Jinx', 51)","('Twitch', 58)"
aurelion-sol,"('Sivir', 47)","('Aphelios', 56)"
aurelion-sol,"('Smolder', 48)","('Draven', 56)"
aurelion-sol,"('Xayah', 50)","('Samira', 58)"
aurelion-sol,"('Zeri', 50)","(""Kai'Sa"", 58)"
aurelion-sol,"('Jinx', 51)","('Twitch', 58)"
ryze,"('Sivir', 47)","('Aphelios', 56)"
ryze,"('Smolder', 48)","('Draven', 56)"
ryze,"('Xayah', 50)","('Samira', 58)"
ryze,"('Zeri', 50)","(""Kai'Sa"", 58)"
ryze,"('Jinx', 51)","('Twitch', 58)"
zilean,"('Sivir', 47)","('Aphelios', 56)"
zilean,"('Smolder', 48)","('Draven', 56)"
zilean,"('Xayah', 50)","('Samira', 58)"
zilean,"('Zeri', 50)","(""Kai'Sa"", 58)"
zilean,"('Jinx', 51)","('Twitch', 58)"
heimerdinger,"('Sivir', 47)","('Aphelios', 56)"
heimerdinger,"('Smolder', 48)","('Draven', 56)"
heimerdinger,"('Xayah', 50)","('Samira', 58)"
heimerdinger,"('Zeri', 50)","(""Kai'Sa"", 58)"
heimerdinger,"('Jinx', 51)","('Twitch', 58)"
kassadin,"('Sivir', 47)","('Aphelios', 56)"
kassadin,"('Smolder', 48)","('Draven', 56)"
kassadin,"('Xayah', 50)","('Samira', 58)"
kassadin,"('Zeri', 50)","(""Kai'Sa"", 58)"
kassadin,"('Jinx', 51)","('Twitch', 58)"
kennen,"('Sivir', 47)","('Aphelios', 56)"
kennen,"('Smolder', 48)","('Draven', 56)"
kennen,"('Xayah', 50)","('Samira', 58)"
kennen,"('Zeri', 50)","(""Kai'Sa"", 58)"
kennen,"('Jinx', 51)","('Twitch', 58)"
kled,"('Sivir', 47)","('Aphelios', 56)"
kled,"('Smolder', 48)","('Draven', 56)"
kled,"('Xayah', 50)","('Samira', 58)"
kled,"('Zeri', 50)","(""Kai'Sa"", 58)"
kled,"('Jinx', 51)","('Twitch', 58)"
naafiri,"('Sivir', 47)","('Aphelios', 56)"
naafiri,"('Smolder', 48)","('Draven', 56)"
naafiri,"('Xayah', 50)","('Samira', 58)"
naafiri,"('Zeri', 50)","(""Kai'Sa"", 58)"
naafiri,"('Jinx', 51)","('Twitch', 58)"
olaf,"('Sivir', 47)","('Aphelios', 56)"
olaf,"('Smolder', 48)","('Draven', 56)"
olaf,"('Xayah', 50)","('Samira', 58)"
olaf,"('Zeri', 50)","(""Kai'Sa"", 58)"
olaf,"('Jinx', 51)","('Twitch', 58)"
sona,"('Sivir', 47)","('Aphelios', 56)"
sona,"('Smolder', 48)","('Draven', 56)"
sona,"('Xayah', 50)","('Samira', 58)"
sona,"('Zeri', 50)","(""Kai'Sa"", 58)"
sona,"('Jinx', 51)","('Twitch', 58)"
ashe,"('Sivir', 47)","('Aphelios', 56)"
ashe,"('Smolder', 48)","('Draven', 56)"
ashe,"('Xayah', 50)","('Samira', 58)"
ashe,"('Zeri', 50)","(""Kai'Sa"", 58)"
ashe,"('Jinx', 51)","('Twitch', 58)"
jhin,"('Sivir', 47)","('Aphelios', 56)"
jhin,"('Smolder', 48)","('Draven', 56)"
jhin,"('Xayah', 50)","('Samira', 58)"
jhin,"('Zeri', 50)","(""Kai'Sa"", 58)"
jhin,"('Jinx', 51)","('Twitch', 58)"
karma,"('Sivir', 47)","('Aphelios', 56)"
karma,"('Smolder', 48)","('Draven', 56)"
karma,"('Xayah', 50)","('Samira', 58)"
karma,"('Zeri', 50)","(""Kai'Sa"", 58)"
karma,"('Jinx', 51)","('Twitch', 58)"
thresh,"('Sivir', 47)","('Aphelios', 56)"
thresh,"('Smolder', 48)","('Draven', 56)"
thresh,"('Xayah', 50)","('Samira', 58)"
thresh,"('Zeri', 50)","(""Kai'Sa"", 58)"
thresh,"('Jinx', 51)","('Twitch', 58)"
yasuo,"('Sivir', 47)","('Aphelios', 56)"
yasuo,"('Smolder', 48)","('Draven', 56)"
yasuo,"('Xayah', 50)","('Samira', 58)"
yasuo,"('Zeri', 50)","(""Kai'Sa"", 58)"
yasuo,"('Jinx', 51)","('Twitch', 58)"
lux,"('Sivir', 47)","('Aphelios', 56)"
lux,"('Smolder', 48)","('Draven', 56)"
lux,"('Xayah', 50)","('Samira', 58)"
lux,"('Zeri', 50)","(""Kai'Sa"", 58)"
lux,"('Jinx', 51)","('Twitch', 58)"
pantheon,"('Sivir', 47)","('Aphelios', 56)"
pantheon,"('Smolder', 48)","('Draven', 56)"
pantheon,"('Xayah', 50)","('Samira', 58)"
pantheon,"('Zeri', 50)","(""Kai'Sa"", 58)"
pantheon,"('Jinx', 51)","('Twitch', 58)"
aatrox,"('Sivir', 47)","('Aphelios', 56)"
aatrox,"('Smolder', 48)","('Draven', 56)"
aatrox,"('Xayah', 50)","('Samira', 58)"
aatrox,"('Zeri', 50)","(""Kai'Sa"", 58)"
aatrox,"('Jinx', 51)","('Twitch', 58)"
kayn,"('Sivir', 47)","('Aphelios', 56)"
kayn,"('Smolder', 48)","('Draven', 56)"
kayn,"('Xayah', 50)","('Samira', 58)"
kayn,"('Zeri', 50)","(""Kai'Sa"", 58)"
kayn,"('Jinx', 51)","('Twitch', 58)"
vi,"('Sivir', 47)","('Aphelios', 56)"
vi,"('Smolder', 48)","('Draven', 56)"
vi,"('Xayah', 50)","('Samira', 58)"
vi,"('Zeri', 50)","(""Kai'Sa"", 58)"
vi,"('Jinx', 51)","('Twitch', 58)"
viktor,"('Sivir', 47)","('Aphelios', 56)"
viktor,"('Smolder', 48)","('Draven', 56)"
viktor,"('Xayah', 50)","('Samira', 58)"
viktor,"('Zeri', 50)","(""Kai'Sa"", 58)"
viktor,"('Jinx', 51)","('Twitch', 58)"
akali,"('Sivir', 47)","('Aphelios', 56)"
akali,"('Smolder', 48)","('Draven', 56)"
akali,"('Xayah', 50)","('Samira', 58)"
akali,"('Zeri', 50)","(""Kai'Sa"", 58)"
akali,"('Jinx', 51)","('Twitch', 58)"
galio,"('Sivir', 47)","('Aphelios', 56)"
galio,"('Smolder', 48)","('Draven', 56)"
galio,"('Xayah', 50)","('Samira', 58)"
galio,"('Zeri', 50)","(""Kai'Sa"", 58)"
galio,"('Jinx', 51)","('Twitch', 58)"
graves,"('Sivir', 47)","('Aphelios', 56)"
graves,"('Smolder', 48)","('Draven', 56)"
graves,"('Xayah', 50)","('Samira', 58)"
graves,"('Zeri', 50)","(""Kai'Sa"", 58)"
graves,"('Jinx', 51)","('Twitch', 58)"
twitch,"('Sivir', 47)","('Aphelios', 56)"
twitch,"('Smolder', 48)","('Draven', 56)"
twitch,"('Xayah', 50)","('Samira', 58)"
twitch,"('Zeri', 50)","(""Kai'Sa"", 58)"
twitch,"('Jinx', 51)","('Twitch', 58)"
zyra,"('Sivir', 47)","('Aphelios', 56)"
zyra,"('Smolder', 48)","('Draven', 56)"
zyra,"('Xayah', 50)","('Samira', 58)"
zyra,"('Zeri', 50)","(""Kai'Sa"", 58)"
zyra,"('Jinx', 51)","('Twitch', 58)"
irelia,"('Sivir', 47)","('Aphelios', 56)"
irelia,"('Smolder', 48)","('Draven', 56)"
irelia,"('Xayah', 50)","('Samira', 58)"
irelia,"('Zeri', 50)","(""Kai'Sa"", 58)"
irelia,"('Jinx', 51)","('Twitch', 58)"
leona,"('Sivir', 47)","('Aphelios', 56)"
leona,"('Smolder', 48)","('Draven', 56)"
leona,"('Xayah', 50)","('Samira', 58)"
leona,"('Zeri', 50)","(""Kai'Sa"", 58)"
leona,"('Jinx', 51)","('Twitch', 58)"
poppy,"('Sivir', 47)","('Aphelios', 56)"
poppy,"('Smolder', 48)","('Draven', 56)"
poppy,"('Xayah', 50)","('Samira', 58)"
poppy,"('Zeri', 50)","(""Kai'Sa"", 58)"
poppy,"('Jinx', 51)","('Twitch', 58)"
swain,"('Sivir', 47)","('Aphelios', 56)"
swain,"('Smolder', 48)","('Draven', 56)"
swain,"('Xayah', 50)","('Samira', 58)"
swain,"('Zeri', 50)","(""Kai'Sa"", 58)"
swain,"('Jinx', 51)","('Twitch', 58)"
tristana,"('Sivir', 47)","('Aphelios', 56)"
tristana,"('Smolder', 48)","('Draven', 56)"
tristana,"('Xayah', 50)","('Samira', 58)"
tristana,"('Zeri', 50)","(""Kai'Sa"", 58)"
tristana,"('Jinx', 51)","('Twitch', 58)"
vladimir,"('Sivir', 47)","('Aphelios', 56)"
vladimir,"('Smolder', 48)","('Draven', 56)"
vladimir,"('Xayah', 50)","('Samira', 58)"
vladimir,"('Zeri', 50)","(""Kai'Sa"", 58)"
vladimir,"('Jinx', 51)","('Twitch', 58)"
volibear,"('Sivir', 47)","('Aphelios', 56)"
volibear,"('Smolder', 48)","('Draven', 56)"
volibear,"('Xayah', 50)","('Samira', 58)"
volibear,"('Zeri', 50)","(""Kai'Sa"", 58)"
volibear,"('Jinx', 51)","('Twitch', 58)"
wukong,"('Sivir', 47)","('Aphelios', 56)"
wukong,"('Smolder', 48)","('Draven', 56)"
wukong,"('Xayah', 50)","('Samira', 58)"
wukong,"('Zeri', 50)","(""Kai'Sa"", 58)"
wukong,"('Jinx', 51)","('Twitch', 58)"
morgana,"('Sivir', 47)","('Aphelios', 56)"
morgana,"('Smolder', 48)","('Draven', 56)"
morgana,"('Xayah', 50)","('Samira', 58)"
morgana,"('Zeri', 50)","(""Kai'Sa"", 58)"
morgana,"('Jinx', 51)","('Twitch', 58)"
